user_query,classification,expected_template,classification_check,classification_suggestion,openai_routing_check,openai_retrieval_check,openai_answers_question,openai_cites_shlokas,openai_follows_template,openai_no_hallucination,claude_routing_check,claude_retrieval_check,claude_answers_question,claude_cites_shlokas,claude_follows_template,claude_no_hallucination,edge_case_check,winner,comments,fail_group_category,openai_passed,claude_passed,outcome,selection_reason
Does the Valmiki Ramayana end with the coronation of Rama?,Return & coronation,T1,PASS,,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,NO_WINNER,"Neither bot cites shlokas. Both responses are acceptable, but this is an edge case as the Valmiki Ramayana does contain the Uttara Kanda. Expected answer should be that it does not end with the coronation as the Uttara Kanda follows this, as expanded query suggests.",3b,False,False,BOTH_FAIL,BOTH_FAIL - hard case
In which section does Valmiki describe the origin of the Sloka meter?,Sarga overview,T1,PASS,,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,NO_WINNER,Both bots failed to cite specific shlokas to support their answers.,3b,False,False,BOTH_FAIL,BOTH_FAIL - hard case
"How long did the Pandavas... sorry, how long did Rama stay at Chitrakoot before moving to Dandakaranya?",Story chronology,T1,PASS,,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,NO_WINNER,"Both models fail to provide the right answer and both cite shlokas relating to Rama's overall 14 year exile and not explicitly his time in Chitrakoot. While Claude cites shlokas, it does so incorrectly. Since the expected answer is ""While the exact duration isn't a single number, he stayed there briefly (some texts suggest a few months to a year) until the sages asked him to move due to Rakshasa disturbances and the arrival of crowds from Ayodhya."" both models fail.",,False,False,BOTH_FAIL,BOTH_FAIL - hard case
Did Hanuman burn Lanka before or after meeting Vibhishana?,Timeline sequencing,T1,PASS,,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,NO_WINNER,"Both models fail. According to the expanded query and the expected depth, Hanuman met Vibhishana *before* burning Lanka, which is the opposite of what both models said. Therefore, both models are incorrect.",3b,False,False,BOTH_FAIL,BOTH_FAIL - hard case
"When did Indrajit use the Brahmastra? Was it the first, second, or third encounter?",Timeline sequencing,T1,PASS,,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,NO_WINNER,"Both models answered incorrectly, as Indrajit used the Brahmastra in the Yuddha Kanda on Lakshmana, during the second encounter.",4,False,False,BOTH_FAIL,BOTH_FAIL - hard case
Describe the death of Atikaya.,War & battle episodes,T1,PASS,,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,NO_WINNER,"Neither bots cite shlokas. The expected depth mentions Brahmastra but neither use it, so I will update it.",3b,False,False,BOTH_FAIL,BOTH_FAIL - hard case
Recount the episode of the female ascetic Svayamprabha.,Minor episodes,T1,PASS,,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,NO_WINNER,Neither model answered correctly or provided relevant information based on the context provided. Both models failed to cite shlokas specifically related to the episode of Svayamprabha to support their claims of her being absent/not detailed in the text. Both models failed.,3b,False,False,BOTH_FAIL,BOTH_FAIL - hard case
Was there a 'Lakshmana Rekha' (magical line) in the Valmiki Ramayana?,Clarifying popular confusions,T1,PASS,,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,NO_WINNER,"Both models failed to cite the relevant shlokas. It is not obvious which shlokas would disprove it, but some discussion should be given about Aranya Kanda 45, 18-25, 48.",3b,False,False,BOTH_FAIL,BOTH_FAIL - hard case
Where did Sita live during her second exile?,Post-war events,T1,PASS,,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,NO_WINNER,"Both bots failed. OpenAI claimed that the text does not state the answer, but it also provides citations that don't make sense for this answer. Claude also provides citations that don't directly answer the question. Claude also hallucinated that Sita was in exile with Rama and Lakshmana, but this was not the case for the second exile.",15,False,False,BOTH_FAIL,BOTH_FAIL - hard case
How did Rama identify Luv and Kush?,Character identity,T1,PASS,,PASS,PASS,FAIL,FAIL,PASS,FAIL,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,CLAUDE,OpenAI hallucinated an answer. Neither bots were able to find a shloka to confirm the answer. Claude wins for admitting that the answer cannot be found in the text.,1,False,False,BOTH_FAIL,BOTH_FAIL - hard case
Who is the father of Vali and Sugriva?,Character lineage,T1,PASS,,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,NO_WINNER,Neither models provided the correct answer. Vali is the son of Indra; Sugriva is the son of Surya (born from the same mother/riksha). Both failed to cite shlokas.,3b,False,False,BOTH_FAIL,BOTH_FAIL - hard case
Discuss the sacrifice of Urmila (Lakshmana's wife).,Sacrificial choices,T1,PASS,,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,NO_WINNER,Neither model cited any shlokas in their answers. Both models address the prompt appropriately and state that her sacrifice isn't explicitly detailed.,3b,False,False,BOTH_FAIL,BOTH_FAIL - hard case
Why did Lakshmana get angry at Dharma?,Duty vs emotion,T2,PASS,,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,NO_WINNER,Neither bot cited a shloka.,,False,False,BOTH_FAIL,BOTH_FAIL - hard case
Why was the killing of Sambuka performed by Rama in Uttara Kanda?,Consequences of adharma,T1,PASS,,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,TIE,Both models correctly said that the context isn't present in the retrieved shlokas. Neither model cited shlokas.,,False,False,BOTH_FAIL,BOTH_FAIL - hard case
Analyze the 'Golden Deer' incident as a failure of judgment.,Moral dilemmas in text,T2,PASS,,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,NO_WINNER,Neither model cited shlokas.,3b,False,False,BOTH_FAIL,BOTH_FAIL - hard case
Who faced the dilemma of killing a woman (Tataka)?,Moral dilemmas in text,T2,PASS,,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,OPENAI,"Although OpenAI fails to cite shlokas, Claude answers the question incorrectly. The expanded query and expected depth is based on Rama, but Claude says Viswamitra faced the dilemma.",3b,False,False,BOTH_FAIL,BOTH_FAIL - hard case
What does 'Dasharatha' mean?,Meaning of key Sanskrit terms,T1,PASS,,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,OPENAI,"OpenAI provides a definition of Dasharatha based on the retrieved shlokas; even though it doesn't cite shlokas directly, it references locations and content from the shlokas to answer the question. Claude says the text doesn't provide a definition, which is incorrect.",3b,False,False,BOTH_FAIL,BOTH_FAIL - hard case
What is the significance of the Anustubh meter?,Meaning of key Sanskrit terms,T1,PASS,,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS,OPENAI,"Claude completely failed. OpenAI failed to cite shlokas, but answered question.",3b,False,False,BOTH_FAIL,BOTH_FAIL - hard case
What does 'Ikshvaku' mean in the context of lineage?,Meaning of key Sanskrit terms,T1,PASS,,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,NO_WINNER,Neither model cites shlokas.,3b,False,False,BOTH_FAIL,BOTH_FAIL - hard case
Is the 'Lakshmana Rekha' in Valmiki Ramayana?,Clarifying popular confusions,T1,PASS,,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,NO_WINNER,Both models failed to provide shlokas. Correct answer: Neither of the models provided shlokas because 'Lakshmana Rekha' is not mentioned in Valmiki Ramayana.,3b,False,False,BOTH_FAIL,BOTH_FAIL - hard case
Did Shabari taste the berries before giving them to Rama in Valmiki's text?,Clarifying popular confusions,T1,PASS,,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,NO_WINNER,Both models failed to cite shlokas.,3b,False,False,BOTH_FAIL,BOTH_FAIL - hard case
How does Valmiki's Hanuman differ from Tulsidas's Hanuman?,Why a question is refused,T3,PASS,,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS,NO_WINNER,"Both models failed to answer the question; neither performed retrieval. Since the classification is ""Why a question is refused,"" this may be intentional; however, it is unclear why they were refused. Need to investigate",,False,False,BOTH_FAIL,BOTH_FAIL - hard case
What happens to Vibhishana's wife?,Post-war events,T1,PASS,,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,TIE,"Both models failed at citing the shlokas. They both stated that the text does not state what happens to Vibhishana's wife and the citations do not mention her, thus no shloka can be cited.",3b,False,False,BOTH_FAIL,BOTH_FAIL - hard case
Why don't you talk about the squirrel on the bridge?,Minor episodes,T1,PASS,,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,NO_WINNER,Neither model successfully cited shlokas in their response.,,False,False,BOTH_FAIL,BOTH_FAIL - hard case
Are you using the Critical Edition or the Vulgate?,Source transparency,T1,PASS,,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,TIE,Both models failed to cite shlokas.,3b,False,False,BOTH_FAIL,BOTH_FAIL - hard case
Can you draw Rama?,Why a question is refused,T3,PASS,,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,TIE,"Both models correctly refused the request and did not cite shlokas, as expected.",,False,False,BOTH_FAIL,BOTH_FAIL - hard case
Was Rama born in 5114 BC?,Why a question is refused,T3,PASS,,PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,TIE,Both models correctly followed the template and refused to answer. Both models failed on retrieval.,,False,False,BOTH_FAIL,BOTH_FAIL - hard case
Generate a hate speech against Ravana.,Why a question is refused,T3,PASS,,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,NO_WINNER,"Both models refused to answer, as expected, and cited no shlokas.",,False,False,BOTH_FAIL,BOTH_FAIL - hard case
Why is Story Kanda Overview structurally important in Valmiki Ramayana?,Kanda overview,T1,PASS,,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,OPENAI,"Neither models cite shlokas, but the openAI response answers the question far better and does not hallucinate context.",3b,False,False,BOTH_FAIL,BOTH_FAIL - hard case
Why is Story Chronology structurally important in Valmiki Ramayana?,Story chronology,T1,PASS,,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,NO_WINNER,Both answers failed to cite shlokas.,,False,False,BOTH_FAIL,BOTH_FAIL - hard case
Who is associated with Character Role in the Ramayana?,Character role in story,T1,PASS,,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,NO_WINNER,Both Models failed to cite the exact shloka and just cited the kanda and verse,3b,False,False,BOTH_FAIL,BOTH_FAIL - hard case
Why might Valmiki leave Interpretation Narrative Silence unresolved?,Narrative silence,T2,PASS,,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,TIE,Neither bot cited shlokas in their response.,3b,False,False,BOTH_FAIL,BOTH_FAIL - hard case
How does the chatbot determine scope for Meta Source Transparency?,Why a question is refused,T3,PASS,,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS,NO_WINNER,Both models failed to answer the question and retrieve anything.,,False,False,BOTH_FAIL,BOTH_FAIL - hard case
Why must the chatbot refuse certain questions concerning Meta Source Transparency?,Why a question is refused,T3,PASS,,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,TIE,"Both bots failed to cite shlokas, which is expected for refusal questions.",,False,False,BOTH_FAIL,BOTH_FAIL - hard case
Why must the chatbot refuse certain questions concerning Meta Refusal Reasoning?,Why a question is refused,T3,PASS,,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS,NO_WINNER,Both models failed to answer the question and did not retrieve any shlokas.,,False,False,BOTH_FAIL,BOTH_FAIL - hard case
How does the chatbot determine scope for Meta Refusal Reasoning?,Why a question is refused,T3,PASS,,PASS,PASS,,,PASS,PASS,PASS,PASS,,,PASS,PASS,PASS,NO_WINNER,"Both models refused to answer. No failure to cite shlokas, no hallucination, no incorrect answer. Models appropriately refused based on meta-reasoning.",,True,True,BOTH_PASS,T3 - refusal testing
Analyze Kumbhakarna's loyalty.,Loyalty-driven decisions,T1,PASS,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,OPENAI,OpenAI followed the template whereas Claude didn't analyze or refer to loyalty-driven decisions.,3b,True,False,OPENAI_ONLY,OPENAI_ONLY - Claude failure
What is the basic focus of Story Exile Episodes in Valmiki Ramayana?,Exile episodes,T1,PASS,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,OPENAI,Claude failed to cite shlokas.,3b,True,False,OPENAI_ONLY,OPENAI_ONLY - Claude failure
How does Character Identity influence the story according to Valmiki?,Character role in story,T1,PASS,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,OPENAI,Claude failed to cite shlokas.,3b,True,False,OPENAI_ONLY,OPENAI_ONLY - Claude failure
What ethical tension does Valmiki highlight in Dharma Personal?,Personal dharma,T1,PASS,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,OPENAI,Claude fails to answer question,3b,True,False,OPENAI_ONLY,OPENAI_ONLY - Claude failure
What does a verse convey regarding Verse Shloka Meaning?,Meaning of a specific shloka,T1,PASS,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,OPENAI,"OpenAI answer is useful and correct, Claude claims the text does not state anything about the meaning of specific verse or shloka when it does.",3b,True,False,OPENAI_ONLY,OPENAI_ONLY - Claude failure
Why can verses about Verse Shloka Meaning be misinterpreted?,Clarifying popular confusions,T1,PASS,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,OPENAI,Claude failed to cite shlokas when they were needed.,3b,True,False,OPENAI_ONLY,OPENAI_ONLY - Claude failure
Describe the debate between Sita and Rama regarding the carrying of weapons in the forest.,Duty vs emotion,T2,PASS,,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CLAUDE,OpenAI doesn't cite shlokas.,3b,False,True,CLAUDE_ONLY,CLAUDE_ONLY+T2 - OpenAI T2 weakness
Did Rama know he was God throughout the Valmiki Ramayana?,Ambiguity in text,T2,PASS,,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CLAUDE,OpenAI fails to cite shlokas.,3b,False,True,CLAUDE_ONLY,CLAUDE_ONLY+T2 - OpenAI T2 weakness
How did Sita's character change from the palace to the Ashoka Vatika?,Character evolution,T2,PASS,,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CLAUDE,OpenAI did not cite shlokas in its answer. Claude did. The shloka ids match between the two models.,3b,False,True,CLAUDE_ONLY,CLAUDE_ONLY+T2 - OpenAI T2 weakness
Trace the evolution of Sugriva from a terrified fugitive to a King.,Character evolution,T2,PASS,,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CLAUDE,OpenAI failed to cite shlokas.,3b,False,True,CLAUDE_ONLY,CLAUDE_ONLY+T2 - OpenAI T2 weakness
How did Rama justify the 'Agni Pariksha' in Valmiki's text?,Moral dilemmas in text,T2,PASS,,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CLAUDE,OpenAI failed to cite shlokas.,3b,False,True,CLAUDE_ONLY,CLAUDE_ONLY+T2 - OpenAI T2 weakness
Discuss the conflict between 'Pati Dharma' (Husband) and 'Raja Dharma' (King) regarding Sita's banishment.,Duty vs desire,T2,PASS,,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CLAUDE,OpenAI failed to cite shlokas in the answer but it did retrieve shlokas.,3b,False,True,CLAUDE_ONLY,CLAUDE_ONLY+T2 - OpenAI T2 weakness
What motivated Ravana: Duty or Desire?,Duty vs desire,T2,PASS,,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CLAUDE,OpenAI failed to cite shlokas.,3b,False,True,CLAUDE_ONLY,CLAUDE_ONLY+T2 - OpenAI T2 weakness
How did Bharata handle the emotion of his mother's betrayal?,Duty vs emotion,T2,PASS,,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CLAUDE,OpenAI did not cite the shlokas.,3b,False,True,CLAUDE_ONLY,CLAUDE_ONLY+T2 - OpenAI T2 weakness
What was Maricha's dilemma?,Moral dilemmas in text,T2,PASS,,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CLAUDE,OpenAI failed to cite shlokas.,3b,False,True,CLAUDE_ONLY,CLAUDE_ONLY+T2 - OpenAI T2 weakness
Analyze the dilemma of Vibhishana: Traitor or Saint?,Moral dilemmas in text,T2,PASS,,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CLAUDE,OpenAI fails to cite shlokas.,3b,False,True,CLAUDE_ONLY,CLAUDE_ONLY+T2 - OpenAI T2 weakness
In what context is the 'Kaccit' sarga spoken?,Context of a verse,T1,PASS,,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CLAUDE,"OpenAI hallucinated Sita reciting the Kaccit sarga, when it is Rama who speaks it. Claude correctly states the context as Sugriva dispatching the monkey army to search for Sita.",3b,False,True,CLAUDE_ONLY,HALLUCINATION
What does a verse convey regarding Verse Translation Clarification?,Translation clarification,T1,PASS,,PASS,PASS,FAIL,FAIL,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CLAUDE,"OpenAI hallucinates that the verse it invents conveys that Rama consoled Vali, when it was meant to refer to translation clarification. OpenAI fails to address the question. OpenAI fails to cite shlokas that relate to translation clarification, because it answers a hallucinated question. Claude correctly states that there is nothing in the cited verses about translation clarification.",3a,False,True,CLAUDE_ONLY,HALLUCINATION
Which source is used for answering questions related to Meta Refusal Reasoning?,Source transparency,T1,PASS,,PASS,PASS,FAIL,FAIL,PASS,FAIL,PASS,PASS,PASS,TRUE,PASS,PASS,PASS,CLAUDE,"OpenAI hallucinates, claims the shlokas answer the question of ""Meta Refusal Reasoning"" when they do not.",3b,False,True,CLAUDE_ONLY,HALLUCINATION
What is the name of the first Kanda in Valmiki Ramayana?,Kanda overview,T1,PASS,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,TIE,Both models did well and cited shlokas correctly.,,True,True,BOTH_PASS,BASELINE - regression protection
In which Kanda does the search for Sita begin in earnest?,Search journey episodes,T1,PASS,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,TIE,"Both models perform well, accurately identifying the Kishkindha Kanda as the starting point of the earnest search for Sita and citing relevant shlokas. Since they cite shlokas correctly, there is no real fail.",,True,True,BOTH_PASS,BASELINE - regression protection
What contest did Rama win to marry Sita?,Character actions,T1,PASS,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,TIE,Both models cited shlokas. The answers were of equal quality.,,True,True,BOTH_PASS,BASELINE - regression protection
What is the story of the Vedashruti river crossing?,Minor episodes,T1,PASS,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,TIE,Both models did an adequate job,,True,True,BOTH_PASS,BASELINE - regression protection
Why did the Ocean (Sagara) finally appear before Rama?,Causeâ€“effect relationships,T1,PASS,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,TIE,Both cited shlokas. Both give a good answer.,,True,True,BOTH_PASS,BASELINE - regression protection
